"Dataset","Window","WindowStart","WindowEnd","Model","Raw_Time","Sym_Time","Raw_NLL","Sym_NLL","SpeedUp","Param1_Name","Param1_Raw","Param1_Sym","Param2_Name","Param2_Raw","Param2_Sym","Param_AbsDiff","Raw_Conv","Sym_Conv"
"MIMIC-III",38,18501,28500,"gamma",0.0610000000160653,0.00200000000768341,32424.3963025896,11296.3744419916,30.4999998908606,"shape",701.409893537696,733.285599982857,"rate",4.27389053160721,4.459749485749,16.0307826996512,TRUE,TRUE
"MIMIC-III",39,19001,29000,"normal",0.00800000000162981,0.00099999998928979,33228.784051295,12148.2240861211,8.00000008731149,"mu",163.334311747294,163.614822273799,"sigma",6.71229461990223,6.69662404329189,0.148090551557641,TRUE,TRUE
"MIMIC-III",39,19001,29000,"gamma",0.0679999999993015,0.00200000000768341,33396.4730781684,12283.6083327019,33.9999998690328,"shape",571.809786220753,580.77852474844,"rate",3.50084774117519,3.549730861914,4.50881082421321,TRUE,TRUE
"MIMIC-III",40,19501,29500,"normal",0.00800000000162981,0.00099999998928979,34305.542654385,13232.5269091911,8.00000008731149,"mu",162.56328849672,162.768981900038,"sigma",7.47538086858173,7.55015182993821,0.140232182337201,TRUE,TRUE
"MIMIC-III",40,19501,29500,"gamma",0.0599999999976717,0.00199999997857958,34471.0155417895,13376.5886996509,30.0000003201421,"shape",456.628683984548,452.016440919917,"rate",2.8089261805473,2.7770639558353,2.32205264467122,TRUE,TRUE
"MIMIC-III",41,20001,30000,"normal",0.00800000000162981,0.00099999998928979,35408.8066400788,14270.0865761649,8.00000008731149,"mu",161.741064530548,161.902291935706,"sigma",8.34735599343953,8.45244047240409,0.133155942061153,TRUE,TRUE
"MIMIC-III",41,20001,30000,"gamma",0.0609999999869615,0.00200000000768341,35573.7045367721,14414.4789013425,30.4999998763087,"shape",362.456232023522,356.736158021642,"rate",2.24096167570018,2.20340209014823,2.87881679371594,TRUE,TRUE
"MIMIC-III",42,20501,30500,"normal",0.010999999998603,0,35481.485871035,14328.4491546581,NA,"mu",161.000596584879,161.098865013033,"sigma",8.40822494832636,8.5032464000294,0.0966449399287921,TRUE,TRUE
"MIMIC-III",42,20501,30500,"gamma",0.0560000000114087,0.00200000000768341,35614.9281284391,14445.6335895514,27.9999998981366,"shape",356.199014752367,350.724717509949,"rate",2.21240802977581,2.17707379902455,2.75481573658475,TRUE,TRUE
"MIMIC-III",43,21001,31000,"normal",0.00800000000162981,0.00100000001839362,35179.9433581787,14149.5571507615,7.99999985448085,"mu",160.380498183783,160.630108670533,"sigma",8.15846399622282,8.33907575641009,0.215111123468859,TRUE,TRUE
"MIMIC-III",43,21001,31000,"gamma",0.0800000000162981,0.0029999999969732,35301.2158175977,14255.9227506641,26.6666666990043,"shape",376.374377324997,363.306000666452,"rate",2.34675857004467,2.26175457140208,6.57669032859373,TRUE,TRUE
"MIMIC-III",44,21501,31500,"normal",0.0100000000093132,0.00099999998928979,34929.0320171896,13913.5619286054,10.0000001164153,"mu",160.113199976338,160.312716174626,"sigma",7.95630573575469,8.12730793067481,0.185259196604016,TRUE,TRUE
"MIMIC-III",44,21501,31500,"gamma",0.147999999986496,0.00400000001536682,35051.9643827745,14016.7341420701,36.9999998544808,"shape",394.318883935394,381.25944030194,"rate",2.46274965758337,2.3782257181648,6.57198378643612,TRUE,TRUE
"MIMIC-III",45,22001,32000,"normal",0.0139999999955762,0.00200000000768341,34664.830789503,13726.2708979552,6.99999997089617,"mu",159.838100061135,160.066307565686,"sigma",7.74885106029568,7.96259363956854,0.220975041911686,TRUE,TRUE
"MIMIC-III",45,22001,32000,"gamma",0.106000000028871,0.0029999999969732,34789.8108929353,13826.8207230526,35.333333378606,"shape",414.143757609159,396.216718404587,"rate",2.59101919956274,2.47533358391691,9.02136241010922,TRUE,TRUE
"MIMIC-III",46,22501,32500,"normal",0.0150000000139698,0.00200000000768341,34365.26589187,13461.4822933129,7.49999997817213,"mu",159.361000354554,159.618275053049,"sigma",7.52016690336394,7.73416733845513,0.235637566793335,TRUE,TRUE
"MIMIC-III",46,22501,32500,"gamma",0.0799999999871943,0.00200000000768341,34488.1636906979,13558.8712813755,39.9999998399289,"shape",437.30221214752,417.939921394929,"rate",2.74409668489564,2.61838030822781,9.74400356462932,TRUE,TRUE
"MIMIC-III",47,23001,33000,"normal",0.00799999997252598,0.00100000001839362,34473.5733020892,13549.2082616929,7.99999982537702,"mu",159.445798709236,159.716639089231,"sigma",7.60205652252841,7.80893162953913,0.238857743502764,TRUE,TRUE
"MIMIC-III",47,23001,33000,"gamma",0.0679999999993015,0.00200000000768341,34593.6635353121,13647.1211357061,33.9999998690328,"shape",428.636583663535,410.42955865251,"rate",2.6882902247317,2.56974431391603,9.16278546092033,TRUE,TRUE
"MIMIC-III",48,23501,33500,"normal",0.0089999999909196,0.00099999998928979,34560.6579073188,13584.8149897405,9.00000008731149,"mu",159.171099901935,159.421110154381,"sigma",7.66854932940079,7.83831421195054,0.209887567497932,TRUE,TRUE
